Country,Type,y1970,y1971,y1972,y1973,y1974,y1975,y1976,y1977,y1978,y1979,y1980,y1981,y1982,y1983,y1984,y1985,y1986,y1987,y1988,y1989,y1990,y1991,y1992,y1993,y1994,y1995,y1996,y1997,y1998,y1999,y2000,y2001,y2002,y2003,y2004,y2005,y2006,y2007,y2008,y2009,y2010,y2011,y2012,y2013,y2014,y2015,y2016,y2017,y2018,y2019,y2020,y2021,y2022,y2023,y2024,y2025,y2026,y2027,y2028,y2029,y2030,y2031,y2032,y2033,g1971,g1972,g1973,g1974,g1975,g1976,g1977,g1978,g1979,g1980,g1981,g1982,g1983,g1984,g1985,g1986,g1987,g1988,g1989,g1990,g1991,g1992,g1993,g1994,g1995,g1996,g1997,g1998,g1999,g2000,g2001,g2002,g2003,g2004,g2005,g2006,g2007,g2008,g2009,g2010,g2011,g2012,g2013,g2014,g2015,g2016,g2017,g2018,g2019,g2020,g2021,g2022,g2023,g2024,g2025,g2026,g2027,g2028,g2029,g2030,g2031,g2032,g2033
Croatia,C,4755.56,4987.66,5102.99,5224.38,5346.76,5475.06,5578.04,5962.26,6387.09,6712.28,6981.71,7136.42,7191.65,7418.64,7780.49,8133.58,8163.56,8378.43,8206.21,8368.21,9450.89,7404.75,6610.16,7320.81,7323.51,7376.51,7869.15,8440.26,8658.06,8610.35,8887.72,9126.38,9541.99,10083.43,10501.60,10953.35,11504.64,12119.37,12341.22,11446.73,11304.69,11304.98,11087.07,11063.03,11098.24,11425.09,11882.16,12315.80,12710.22,13148.16,12079.45,13725.39,14664.49,14925.90,15386.22,15848.91,16319.70,16795.35,17267.99,17736.56,18200.03,18693.90,19201.17,19722.21,4.88,2.31,2.38,2.34,2.40,1.88,6.89,7.13,5.09,4.01,2.22,.77,3.16,4.88,4.54,.37,2.63,-2.06,1.97,12.94,-21.65,-10.73,10.75,.04,.72,6.68,7.26,2.58,-.55,3.22,2.69,4.55,5.67,4.15,4.30,5.03,5.34,1.83,-7.25,-1.24,.00,-1.93,-.22,.32,2.95,4.00,3.65,3.20,3.45,-8.13,13.63,6.84,1.78,3.08,3.01,2.97,2.91,2.81,2.71,2.61,2.71,2.71,2.71
Cyprus,C,,,,,,4930.47,6041.32,7024.87,7530.67,8212.05,8591.75,8700.63,9120.55,9465.79,10117.95,10436.13,10647.10,11217.49,11992.45,12699.09,13306.32,13034.25,13857.21,13587.40,14051.56,14900.73,14790.83,14913.07,15578.62,16120.20,16843.99,17266.59,17641.15,17769.16,18236.21,18675.71,19171.20,19805.17,20182.79,19449.15,19518.39,19285.22,18332.83,16874.48,16319.10,16632.36,17513.28,18036.99,18531.63,18898.63,17864.48,18838.85,19691.16,19908.68,20250.04,20721.69,21144.93,21543.50,21928.58,22277.00,22609.16,22946.28,23288.42,23635.66,,,,,,22.53,16.28,7.20,9.05,4.62,1.27,4.83,3.79,6.89,3.14,2.02,5.36,6.91,5.89,4.78,-2.04,6.31,-1.95,3.42,6.04,-.74,.83,4.46,3.48,4.49,2.51,2.17,.73,2.63,2.41,2.65,3.31,1.91,-3.63,.36,-1.19,-4.94,-7.95,-3.29,1.92,5.30,2.99,2.74,1.98,-5.47,5.45,4.52,1.10,1.71,2.33,2.04,1.88,1.79,1.59,1.49,1.49,1.49,1.49
Czech Republic,C,,7148.55,7341.68,7530.63,7713.97,7900.08,8093.54,8297.24,8511.16,8734.38,8979.09,9248.55,9529.22,9820.90,10122.34,10434.45,10758.56,11088.33,11428.84,11781.66,11616.98,10272.01,10209.54,10205.24,10498.35,11158.33,11643.08,11586.32,11559.19,11736.80,12251.33,12630.54,12857.29,13317.27,13958.90,14842.20,15808.13,16589.08,16887.13,15980.07,16292.84,16547.47,16386.47,16279.46,16693.64,17551.22,17954.18,18712.59,19225.41,19702.54,18603.96,19246.17,19714.53,19722.27,20272.66,20877.10,21452.43,22010.75,22539.54,23035.91,23497.09,23920.46,24351.46,24790.22,,2.70,2.57,2.43,2.41,2.45,2.52,2.58,2.62,2.80,3.00,3.03,3.06,3.07,3.08,3.11,3.07,3.07,3.09,-1.40,-11.58,-.61,-.04,2.87,6.29,4.34,-.49,-.23,1.54,4.38,3.10,1.80,3.58,4.82,6.33,6.51,4.94,1.80,-5.37,1.96,1.56,-.97,-.65,2.54,5.14,2.30,4.22,2.74,2.48,-5.58,3.45,2.43,.04,2.79,2.98,2.76,2.60,2.40,2.20,2.00,1.80,1.80,1.80
Estonia,C,7187.94,7312.21,7452.41,7609.68,7781.85,7966.76,8156.45,8345.27,8542.44,8754.53,8589.60,8647.56,9075.30,9345.04,9534.60,9506.91,9538.26,9795.81,10031.14,10327.38,9614.11,8900.43,7157.84,6712.08,6709.32,7114.97,7563.85,8638.25,9091.94,9128.34,10124.37,10810.25,11631.73,12602.51,13547.03,14929.05,16488.40,17829.16,16981.85,14575.82,15020.71,16208.28,16823.28,17171.30,17785.39,18214.40,18795.84,19988.37,21063.48,22112.23,22150.78,24085.20,23995.14,23852.99,24736.65,25840.36,26773.58,27772.19,28836.04,29969.72,31178.18,32466.79,33808.66,35206.00,1.73,1.92,2.11,2.26,2.38,2.38,2.31,2.36,2.48,-1.88,.67,4.95,2.97,2.03,-.29,.33,2.70,2.40,2.95,-6.91,-7.42,-19.58,-6.23,-.04,6.05,6.31,14.20,5.25,.40,10.91,6.77,7.60,8.35,7.49,10.20,10.45,8.13,-4.75,-14.17,3.05,7.91,3.79,2.07,3.58,2.41,3.19,6.34,5.38,4.98,.17,8.73,-.37,-.59,3.70,4.46,3.61,3.73,3.83,3.93,4.03,4.13,4.13,4.13
Hungary,C,4329.89,4587.42,4855.60,5172.65,5452.17,5757.35,5929.94,6354.33,6614.41,6775.83,6782.21,6976.80,7178.80,7242.07,7448.81,7444.04,7574.01,7890.57,8190.05,8287.81,8016.10,7581.87,7360.00,7355.15,7596.54,7721.50,7744.07,8010.70,8346.90,8627.59,9035.52,9419.88,9883.24,10308.11,10826.04,11302.27,11771.16,11813.83,11955.23,11169.12,11260.00,11483.54,11334.53,11579.10,12089.59,12581.89,12888.32,13479.25,14202.77,14942.91,14273.23,15344.42,16096.81,15990.86,16552.88,16863.27,17213.07,17575.64,17963.85,18360.65,18766.20,19180.72,19604.39,20037.42,5.95,5.85,6.53,5.40,5.60,3.00,7.16,4.09,2.44,.09,2.87,2.90,.88,2.85,-.06,1.75,4.18,3.80,1.19,-3.28,-5.42,-2.93,-.07,3.28,1.64,.29,3.44,4.20,3.36,4.73,4.25,4.92,4.30,5.02,4.40,4.15,.36,1.20,-6.58,.81,1.99,-1.30,2.16,4.41,4.07,2.44,4.58,5.37,5.21,-4.48,7.50,4.90,-.66,3.51,1.88,2.07,2.11,2.21,2.21,2.21,2.21,2.21,2.21
Latvia,C,4744.57,5067.78,5284.54,5543.96,5763.46,6111.83,6415.84,6582.30,6762.93,6942.01,7195.72,7463.46,7593.22,7934.83,8332.47,8242.56,8563.98,8690.54,9081.68,9586.35,9328.66,8186.03,5685.32,5105.39,5305.33,4918.28,5100.53,5612.11,6025.89,6246.98,6645.19,7119.04,7691.26,8420.58,9222.22,10322.99,11655.69,12926.67,12624.88,11009.46,10744.73,11633.69,12264.62,12684.17,13066.81,13635.65,14025.92,14712.56,15507.99,16020.52,15828.27,16642.42,17301.73,17611.92,18292.12,19121.02,19844.07,20607.30,21399.89,22222.96,23077.69,23965.29,24887.04,25844.23,6.81,4.28,4.91,3.96,6.04,4.97,2.59,2.74,2.65,3.65,3.72,1.74,4.50,5.01,-1.08,3.90,1.48,4.50,5.56,-2.69,-12.25,-30.55,-10.20,3.92,-7.30,3.71,10.03,7.37,3.67,6.37,7.13,8.04,9.48,9.52,11.94,12.91,10.90,-2.33,-12.80,-2.40,8.27,5.42,3.42,3.02,4.35,2.86,4.90,5.41,3.30,-1.20,5.14,3.96,1.79,3.86,4.53,3.78,3.85,3.85,3.85,3.85,3.85,3.85,3.85
Lithuania,C,5512.68,5611.68,5720.89,5839.17,5963.15,6093.95,6229.00,6368.39,6515.79,6670.28,6827.69,6983.87,7138.76,7293.95,7452.54,7614.54,7779.42,7945.94,8145.73,8381.01,8550.01,8105.88,6466.35,5513.27,5020.59,5104.69,5381.64,5836.57,6276.43,6205.13,6449.84,6898.36,7410.57,8261.30,8907.14,9762.26,10663.57,11994.17,12442.55,10724.23,11129.77,12089.11,12729.22,13315.63,13919.41,14350.27,14872.76,15664.69,16403.61,17225.13,17419.65,18636.11,19191.09,19238.79,19926.71,20659.03,21537.97,22408.20,23245.68,24020.53,24748.43,25423.38,26116.75,26829.02,1.80,1.95,2.07,2.12,2.19,2.22,2.24,2.31,2.37,2.36,2.29,2.22,2.17,2.17,2.17,2.17,2.14,2.51,2.89,2.02,-5.19,-20.23,-14.74,-8.94,1.68,5.43,8.45,7.54,-1.14,3.94,6.95,7.43,11.48,7.82,9.60,9.23,12.48,3.74,-13.81,3.78,8.62,5.29,4.61,4.53,3.10,3.64,5.32,4.72,5.01,1.13,6.98,2.98,.25,3.58,3.68,4.25,4.04,3.74,3.33,3.03,2.73,2.73,2.73
Malta,C,3227.67,3307.91,3567.21,3687.31,4036.24,4762.18,5546.98,6172.01,6705.00,7256.98,7403.09,7655.60,7905.05,7954.89,8130.27,8444.76,8780.30,9074.63,9753.64,1070.64,1119.55,1169.72,1252.65,1379.71,1517.15,13642.68,14030.83,14633.00,15253.14,15851.84,16804.74,16798.31,17194.97,17523.54,17493.67,18048.96,18313.12,18977.29,19486.00,18864.37,19437.57,19618.97,20014.85,20790.37,22408.16,24583.40,25718.27,27081.90,28765.92,29743.74,26947.32,29891.99,31713.17,32607.52,33651.71,34983.37,36156.41,37128.75,38091.21,39040.64,39974.81,40932.29,41912.71,42916.61,2.49,7.84,3.37,9.46,17.99,16.48,11.27,8.64,8.23,2.01,3.41,3.26,.63,2.20,3.87,3.97,3.35,7.48,-89.02,4.57,4.48,7.09,10.14,9.96,799.23,2.85,4.29,4.24,3.93,6.01,-.04,2.36,1.91,-.17,3.17,1.46,3.63,2.68,-3.19,3.04,.93,2.02,3.87,7.78,9.71,4.62,5.30,6.22,3.40,-9.40,10.93,6.09,2.82,3.20,3.96,3.35,2.69,2.59,2.49,2.39,2.40,2.40,2.40
Poland,C,3895.65,4152.37,4312.20,4453.22,4725.68,4958.35,5299.81,5622.62,5874.03,6043.33,5629.42,5022.37,4739.99,4956.64,5189.02,5331.31,5515.32,5588.07,5799.63,5793.12,5104.14,4729.45,4833.56,5001.60,5255.32,5613.04,5948.50,6328.63,6618.31,6926.12,7244.06,7336.46,7489.66,7761.84,8165.77,8454.88,8980.63,9613.56,10017.41,10291.51,10654.81,11184.92,11364.61,11526.68,11917.03,12384.71,12777.06,13424.93,14164.18,14777.15,14504.34,15524.87,16408.88,16578.95,17144.84,17870.00,18576.21,19247.64,19885.37,20544.22,21183.65,21800.44,22435.19,23088.43,6.59,3.85,3.27,6.12,4.92,6.89,6.09,4.47,2.88,-6.85,-10.78,-5.62,4.57,4.69,2.74,3.45,1.32,3.79,-.11,-11.89,-7.34,2.20,3.48,5.07,6.81,5.98,6.39,4.58,4.65,4.59,1.28,2.09,3.63,5.20,3.54,6.22,7.05,4.20,2.74,3.53,4.98,1.61,1.43,3.39,3.92,3.17,5.07,5.51,4.33,-1.85,7.04,5.69,1.04,3.41,4.23,3.95,3.61,3.31,3.31,3.11,2.91,2.91,2.91
Romania,C,2164.84,2420.32,2652.34,2905.01,3231.63,3528.93,3884.36,4170.06,4438.20,4682.99,4853.89,4831.72,4999.79,5290.14,5594.41,5572.20,5682.60,5708.14,5659.18,5312.23,5045.23,4401.25,4020.41,4087.48,4254.31,4528.59,4719.06,4503.12,4420.80,4411.02,4525.42,4768.33,5051.47,5183.89,5739.15,6020.72,6517.82,7003.32,7670.89,7263.79,6997.11,7155.39,7322.75,7600.30,7881.45,8210.59,8631.30,9275.21,9719.69,10151.94,9937.51,10656.96,11269.00,11659.88,12116.19,12629.52,13120.33,13609.70,14089.40,14571.81,15040.93,15494.88,15962.53,16444.30,11.80,9.59,9.53,11.24,9.20,10.07,7.36,6.43,5.52,3.65,-.46,3.48,5.81,5.75,-.40,1.98,.45,-.86,-6.13,-5.03,-12.76,-8.65,1.67,4.08,6.45,4.21,-4.58,-1.83,-.22,2.59,5.37,5.94,2.62,10.71,4.91,8.26,7.45,9.53,-5.31,-3.67,2.26,2.34,3.79,3.70,4.18,5.12,7.46,4.79,4.45,-2.11,7.24,5.74,3.47,3.91,4.24,3.89,3.73,3.52,3.42,3.22,3.02,3.02,3.02
