Country,Type,y1970,y1971,y1972,y1973,y1974,y1975,y1976,y1977,y1978,y1979,y1980,y1981,y1982,y1983,y1984,y1985,y1986,y1987,y1988,y1989,y1990,y1991,y1992,y1993,y1994,y1995,y1996,y1997,y1998,y1999,y2000,y2001,y2002,y2003,y2004,y2005,y2006,y2007,y2008,y2009,y2010,y2011,y2012,y2013,y2014,y2015,y2016,y2017,y2018,y2019,y2020,y2021,y2022,y2023,y2024,y2025,y2026,y2027,y2028,y2029,y2030,y2031,y2032,y2033,g1971,g1972,g1973,g1974,g1975,g1976,g1977,g1978,g1979,g1980,g1981,g1982,g1983,g1984,g1985,g1986,g1987,g1988,g1989,g1990,g1991,g1992,g1993,g1994,g1995,g1996,g1997,g1998,g1999,g2000,g2001,g2002,g2003,g2004,g2005,g2006,g2007,g2008,g2009,g2010,g2011,g2012,g2013,g2014,g2015,g2016,g2017,g2018,g2019,g2020,g2021,g2022,g2023,g2024,g2025,g2026,g2027,g2028,g2029,g2030,g2031,g2032,g2033
World,G,4889.41,5016.62,5184.82,5414.49,5426.24,5369.39,5552.75,5684.66,5815.75,5971.42,5990.22,5994.02,5922.34,5974.27,6145.93,6257.07,6361.01,6481.71,6662.50,6777.44,6859.13,6844.00,6874.09,6892.43,7016.30,7132.03,7281.94,7463.98,7573.45,7720.79,7963.09,8025.51,8107.34,8256.36,8529.40,8774.67,9063.89,9355.44,9428.05,9192.80,9487.43,9691.85,9842.13,10005.29,10194.36,10389.29,10544.35,10773.50,10985.27,11141.03,10678.36,11223.88,11463.87,11635.98,11836.47,12076.66,12331.28,12582.26,12827.04,13076.62,13319.03,13552.87,13792.09,14036.84,2.60,3.35,4.43,.22,-1.05,3.41,2.38,2.31,2.68,.31,.06,-1.20,.88,2.87,1.81,1.66,1.90,2.79,1.73,1.21,-.22,.44,.27,1.80,1.65,2.10,2.50,1.47,1.95,3.14,.78,1.02,1.84,3.31,2.88,3.30,3.22,.78,-2.50,3.21,2.15,1.55,1.66,1.89,1.91,1.49,2.17,1.97,1.42,-4.15,5.11,2.14,1.50,1.72,2.03,2.11,2.04,1.95,1.95,1.85,1.76,1.77,1.77
World less USA,G,3686.43,3801.98,3930.13,4114.50,4163.01,4131.70,4267.94,4359.70,4434.17,4572.36,4622.80,4612.93,4595.23,4602.29,4688.88,4761.01,4837.45,4931.21,5074.13,5156.79,5238.92,5255.01,5249.08,5243.45,5322.04,5416.91,5525.32,5651.45,5697.97,5775.52,5963.80,6034.65,6107.98,6224.82,6448.20,6647.74,6909.10,7197.57,7308.31,7156.31,7430.24,7633.42,7762.23,7914.28,8075.87,8230.80,8381.85,8590.41,8760.05,8886.22,8504.04,8939.79,9158.15,9313.99,9513.46,9733.24,9953.20,10172.68,10393.65,10621.53,10841.57,11055.12,11274.16,11498.86,3.13,3.37,4.69,1.18,-.75,3.30,2.15,1.71,3.12,1.10,-.21,-.38,.15,1.88,1.54,1.61,1.94,2.90,1.63,1.59,.31,-.11,-.11,1.50,1.78,2.00,2.28,.82,1.36,3.26,1.19,1.22,1.91,3.59,3.09,3.93,4.18,1.54,-2.08,3.83,2.73,1.69,1.96,2.04,1.92,1.84,2.49,1.97,1.44,-4.30,5.12,2.44,1.70,2.14,2.31,2.26,2.21,2.17,2.19,2.07,1.97,1.98,1.99
United States and Canada,G,24855.69,25336.81,26361.31,27593.63,27257.30,26956.92,28136.39,29111.47,30358.72,30991.41,30605.29,31090.62,30198.07,31244.34,33180.90,34272.70,35095.21,35988.03,37144.79,38076.03,38270.20,37670.61,38382.85,38916.37,40001.09,40587.68,41569.95,42907.53,44273.81,45836.93,47235.75,47255.75,47694.88,48675.81,50071.41,51415.07,52429.52,53097.96,52561.76,50747.96,51621.48,52085.00,52824.55,53420.66,54368.54,55470.30,55827.44,56728.91,58025.67,59045.78,57058.13,60209.14,61070.95,61700.78,62066.62,62871.74,63983.80,65038.99,65934.30,66776.41,67624.28,68425.87,69236.96,70057.67,1.94,4.04,4.67,-1.22,-1.10,4.38,3.47,4.28,2.08,-1.25,1.59,-2.87,3.46,6.20,3.29,2.40,2.54,3.21,2.51,.51,-1.57,1.89,1.39,2.79,1.47,2.42,3.22,3.18,3.53,3.05,.04,.93,2.06,2.87,2.68,1.97,1.27,-1.01,-3.45,1.72,.90,1.42,1.13,1.77,2.03,.64,1.61,2.29,1.76,-3.37,5.52,1.43,1.03,.59,1.30,1.77,1.65,1.38,1.28,1.27,1.19,1.19,1.19
Canada,C,19421.17,19938.85,20793.76,21944.36,22351.91,22351.67,23355.40,23875.25,24507.63,25165.25,25376.96,25935.15,24807.75,25198.71,26432.65,27428.96,27736.96,28490.59,29365.35,29514.06,29125.13,28185.61,28013.94,28353.64,29246.69,29670.70,29813.93,30803.47,31409.88,32372.39,33659.36,33830.93,34696.49,35738.30,36853.45,38389.00,39641.24,41938.08,41869.61,40151.09,40902.18,41704.30,41948.85,42426.23,43202.25,43100.50,43131.90,44103.19,44612.29,44979.06,42357.31,44135.96,45289.52,45596.32,46015.93,46574.06,47178.19,47740.39,48309.86,48838.10,49323.57,49862.89,50408.11,50959.30,2.67,4.29,5.53,1.86,.00,4.49,2.23,2.65,2.68,.84,2.20,-4.35,1.58,4.90,3.77,1.12,2.72,3.07,.51,-1.32,-3.23,-.61,1.21,3.15,1.45,.48,3.32,1.97,3.06,3.98,.51,2.56,3.00,3.12,4.17,3.26,5.79,-.16,-4.10,1.87,1.96,.59,1.14,1.83,-.24,.07,2.25,1.15,.82,-5.83,4.20,2.61,.68,.92,1.21,1.30,1.19,1.19,1.09,.99,1.09,1.09,1.09
United States,C,25435.15,25911.68,26954.14,28196.61,27783.26,27452.99,28653.20,29678.46,30991.96,31621.25,31171.16,31650.05,30784.46,31902.62,33916.37,35018.89,35898.16,36809.59,38000.52,39025.80,39288.33,38724.84,39536.70,40092.99,41199.89,41804.94,42880.26,44252.93,45698.53,47324.11,48732.13,48733.90,49124.80,50097.93,51522.05,52842.82,53829.90,54320.75,53735.88,51915.62,52806.88,53237.90,54037.63,54652.84,55623.53,56862.72,57258.41,58155.75,59546.30,60646.37,58738.37,62055.29,62884.13,63552.23,63912.87,64747.21,65918.36,67032.29,67965.14,68843.42,69733.05,70564.85,71406.58,72258.35,1.87,4.02,4.61,-1.47,-1.19,4.37,3.58,4.43,2.03,-1.42,1.54,-2.73,3.63,6.31,3.25,2.51,2.54,3.24,2.70,.67,-1.43,2.10,1.41,2.76,1.47,2.57,3.20,3.27,3.56,2.98,.00,.80,1.98,2.84,2.56,1.87,.91,-1.08,-3.39,1.72,.82,1.50,1.14,1.78,2.23,.70,1.57,2.39,1.85,-3.15,5.65,1.34,1.06,.57,1.31,1.81,1.69,1.39,1.29,1.29,1.19,1.19,1.19
Latin America,G,4251.42,4436.45,4642.37,4897.58,5115.86,5179.34,5333.50,5469.15,5554.25,5832.50,6091.60,6006.89,5858.16,5615.11,5708.58,5772.96,5884.23,5956.85,5877.45,5873.28,5766.76,5844.63,5890.71,6026.34,6233.44,6187.24,6336.77,6568.34,6643.25,6589.91,6733.94,6677.56,6624.59,6703.25,6989.03,7179.29,7454.76,7757.78,7954.58,7706.01,8116.90,8387.03,8508.09,8663.15,8693.12,8654.36,8562.78,8640.65,8686.89,8669.93,8029.03,8530.31,8789.27,8888.22,9026.40,9212.37,9416.52,9619.60,9834.26,10056.71,10289.25,10524.60,10765.47,11011.99,4.35,4.64,5.50,4.46,1.24,2.98,2.54,1.56,5.01,4.44,-1.39,-2.48,-4.15,1.66,1.13,1.93,1.23,-1.33,-.07,-1.81,1.35,.79,2.30,3.44,-.74,2.42,3.65,1.14,-.80,2.19,-.84,-.79,1.19,4.26,2.72,3.84,4.06,2.54,-3.12,5.33,3.33,1.44,1.82,.35,-.45,-1.06,.91,.54,-.20,-7.39,6.24,3.04,1.13,1.55,2.06,2.22,2.16,2.23,2.26,2.31,2.29,2.29,2.29
Mexico,C,5158.53,5192.09,5461.01,5729.33,5899.83,6078.84,6190.07,6245.37,6644.69,7122.23,7606.64,8068.23,7842.66,7394.67,7474.82,7473.08,7090.49,7063.21,7010.23,7160.61,7395.18,7567.57,7691.68,7697.98,7937.13,7312.69,7680.10,8074.41,8362.54,8476.19,8778.65,8626.43,8509.81,8518.79,8736.05,8824.79,9106.97,9194.46,9173.21,8566.16,8875.50,9070.23,9272.52,9277.93,9421.67,9615.54,9780.52,9872.68,9969.97,9845.84,8984.01,9393.25,9636.71,9814.52,9943.96,10093.76,10231.14,10373.24,10517.31,10663.38,10811.49,10972.37,11135.65,11301.36,.65,5.18,4.91,2.98,3.03,1.83,.89,6.39,7.19,6.80,6.07,-2.80,-5.71,1.08,-.02,-5.12,-.38,-.75,2.15,3.28,2.33,1.64,.08,3.11,-7.87,5.02,5.13,3.57,1.36,3.57,-1.73,-1.35,.11,2.55,1.02,3.20,.96,-.23,-6.62,3.61,2.19,2.23,.06,1.55,2.06,1.72,.94,.99,-1.25,-8.75,4.56,2.59,1.85,1.32,1.51,1.36,1.39,1.39,1.39,1.39,1.49,1.49,1.49
Other Caribbean Central America,G,3297.05,3424.75,3568.88,3673.04,3796.36,3799.78,3911.21,4103.00,4244.22,4296.34,4304.68,4385.90,4343.93,4289.79,4387.99,4357.18,4372.33,4406.12,4425.70,4473.20,4369.77,4267.27,4278.40,4267.28,4307.30,4409.65,4487.28,4614.42,4742.93,4885.83,5001.85,5100.34,5151.73,5199.70,5405.59,5540.14,5766.38,5956.37,6031.02,5912.77,6026.45,6142.83,6256.09,6347.03,6436.89,6577.26,6647.45,6720.00,6778.73,6861.83,6259.70,6633.58,6863.83,7013.83,7147.14,7304.10,7463.24,7626.00,7791.17,7958.24,8132.19,8300.80,8473.04,8648.99,3.87,4.21,2.92,3.36,.09,2.93,4.90,3.44,1.23,.19,1.89,-.96,-1.25,2.29,-.70,.35,.77,.44,1.07,-2.31,-2.35,.26,-.26,.94,2.38,1.76,2.83,2.79,3.01,2.37,1.97,1.01,.93,3.96,2.49,4.08,3.29,1.25,-1.96,1.92,1.93,1.84,1.45,1.42,2.18,1.07,1.09,.87,1.23,-8.77,5.97,3.47,2.19,1.90,2.20,2.18,2.18,2.17,2.14,2.19,2.07,2.07,2.08
Antigua and Barbuda,C,,,,,,,,5044.93,5268.31,5701.37,6164.26,6425.86,6444.63,7037.43,7891.07,8503.75,9480.56,10106.27,10631.65,11197.35,11574.67,11851.94,11776.59,12183.45,12774.60,11999.86,12546.83,12974.37,13340.29,13604.09,14257.29,13306.74,13235.85,13836.86,14425.00,15145.26,16852.00,18173.60,17932.32,15556.85,14192.56,13735.67,14018.08,13757.97,14102.02,14460.74,15069.10,15354.03,16289.38,16842.91,13730.58,14459.03,15500.78,15669.09,15941.40,16170.29,16407.38,16650.81,16914.58,17182.54,17437.72,17714.24,17995.14,18280.49,,,,,,,,4.43,8.22,8.12,4.24,.29,9.20,12.13,7.76,11.49,6.60,5.20,5.32,3.37,2.40,-.64,3.45,4.85,-6.06,4.56,3.41,2.82,1.98,4.80,-6.67,-.53,4.54,4.25,4.99,11.27,7.84,-1.33,-13.25,-8.77,-3.22,2.06,-1.86,2.50,2.54,4.21,1.89,6.09,3.40,-18.48,5.31,7.20,1.09,1.74,1.44,1.47,1.48,1.58,1.58,1.49,1.59,1.59,1.59
Bahamas,C,28594.26,28409.34,26783.61,28232.17,23056.87,19265.69,19832.84,21183.54,23707.13,29229.33,30592.14,27289.90,28624.25,29153.33,32727.52,33769.61,33896.82,34453.66,34771.06,36566.29,35412.75,33362.68,31548.55,31142.33,31649.20,32578.10,33486.82,33715.95,34867.24,36915.07,37999.70,38575.11,39221.09,38357.13,38338.24,39286.72,39928.31,40145.87,38858.37,36893.91,37114.79,36998.30,37794.19,36350.92,36299.73,36205.82,36065.29,35765.23,36002.13,36327.62,27433.65,30929.70,33126.68,34258.50,34981.34,35529.67,35925.92,36318.36,36679.01,37006.83,37337.91,37671.94,38008.96,38349.01,-.65,-5.72,5.41,-18.33,-16.44,2.94,6.81,11.91,23.29,4.66,-10.79,4.89,1.85,12.26,3.18,.38,1.64,.92,5.16,-3.15,-5.79,-5.44,-1.29,1.63,2.93,2.79,.68,3.41,5.87,2.94,1.51,1.67,-2.20,-.05,2.47,1.63,.54,-3.21,-5.06,.60,-.31,2.15,-3.82,-.14,-.26,-.39,-.83,.66,.90,-24.48,12.74,7.10,3.42,2.11,1.57,1.12,1.09,.99,.89,.89,.89,.89,.89
Barbados,C,,,,,11602.16,11308.77,11760.17,12132.44,12674.49,13620.43,14169.75,13878.80,13140.60,13135.37,13540.97,13629.39,14268.59,14589.76,15053.03,15526.90,14946.25,14304.88,13425.93,13476.64,13699.62,13921.38,14413.42,15026.64,15516.12,15498.92,16118.62,15667.16,15715.52,15980.52,16132.22,16697.33,17609.35,17923.70,17976.83,16998.58,16548.05,16376.32,16243.47,15959.97,15887.54,16224.83,16576.17,16594.75,16441.96,16372.95,14150.21,14083.00,15429.08,16102.70,16515.42,16849.71,17167.03,17458.29,17702.21,17949.80,18200.84,18455.40,18713.52,18975.24,,,,,-2.53,3.99,3.17,4.47,7.46,4.03,-2.05,-5.32,-.04,3.09,.65,4.69,2.25,3.18,3.15,-3.74,-4.29,-6.14,.38,1.65,1.62,3.53,4.25,3.26,-.11,4.00,-2.80,.31,1.69,.95,3.50,5.46,1.79,.30,-5.44,-2.65,-1.04,-.81,-1.75,-.45,2.12,2.17,.11,-.92,-.42,-13.58,-.47,9.56,4.37,2.56,2.02,1.88,1.70,1.40,1.40,1.40,1.40,1.40,1.40
Belize,C,1495.36,1519.46,1638.37,1690.13,1881.04,1911.50,1875.93,1963.08,2083.61,2205.25,2515.23,2446.80,2366.42,2256.04,2240.83,2191.24,2199.85,2360.29,2513.89,2749.79,2986.35,3245.22,3540.76,3659.04,3565.05,3492.23,3449.77,3480.85,3537.13,3788.87,4204.61,4298.01,4380.98,4657.70,4749.24,4713.75,4813.14,4714.88,4758.42,4652.67,4678.33,4658.22,4664.68,4623.79,4692.17,4728.95,4641.19,4639.48,4650.81,4581.49,3900.45,4418.93,4437.86,4442.29,4478.06,4527.81,4545.15,4563.06,4581.04,4599.09,4617.22,4644.54,4672.02,4699.67,1.61,7.83,3.16,11.30,1.62,-1.86,4.65,6.14,5.84,14.06,-2.72,-3.28,-4.66,-.67,-2.21,.39,7.29,6.51,9.38,8.60,8.67,9.11,3.34,-2.57,-2.04,-1.22,.90,1.62,7.12,10.97,2.22,1.93,6.32,1.97,-.75,2.11,-2.04,.92,-2.22,.55,-.43,.14,-.88,1.48,.78,-1.86,-.04,.24,-1.49,-14.87,13.29,.43,.10,.81,1.11,.38,.39,.39,.39,.39,.59,.59,.59
Costa Rica,C,4898.16,5083.40,5351.78,5607.74,5761.73,5722.73,5870.54,6211.65,6348.33,6463.34,6400.31,6101.22,5500.19,5498.92,5770.70,5643.73,5783.25,5894.39,5938.06,6113.34,6176.90,6174.41,6581.92,6857.58,6962.88,7052.99,6956.00,7162.18,7478.41,7596.51,7720.27,7841.05,7968.76,8179.97,8405.28,8602.03,9092.68,9696.01,10003.38,9768.86,10113.73,10410.24,10768.93,10873.52,11115.41,11378.14,11719.09,12028.87,12207.67,12323.20,11668.69,12444.08,12846.94,13139.12,13507.22,13863.42,14178.45,14501.64,14846.92,15200.42,15562.33,15948.31,16343.85,16749.20,3.78,5.28,4.78,2.75,-.68,2.58,5.81,2.20,1.81,-.98,-4.67,-9.85,-.02,4.94,-2.20,2.47,1.92,.74,2.95,1.04,-.04,6.60,4.19,1.54,1.29,-1.38,2.96,4.42,1.58,1.63,1.56,1.63,2.65,2.75,2.34,5.70,6.64,3.17,-2.34,3.53,2.93,3.45,.97,2.22,2.36,3.00,2.64,1.49,.95,-5.31,6.64,3.24,2.27,2.80,2.64,2.27,2.28,2.38,2.38,2.38,2.48,2.48,2.48
Cuba,C,2706.48,2895.95,2980.31,3024.61,3004.00,3240.28,3368.91,3617.57,3817.96,3829.47,3665.55,4360.82,4708.05,4915.12,5253.72,5284.15,5238.03,5064.53,5200.02,5181.89,4977.98,4404.12,3863.86,3267.92,3278.34,3350.27,3599.08,3682.10,3671.17,3883.09,4098.41,4216.84,4264.96,4414.55,4661.31,5180.00,5805.68,6230.04,6488.33,6581.24,6737.71,6925.36,7135.52,7338.82,7423.95,7769.99,7833.69,7998.82,8201.58,8258.72,7377.10,7490.77,7657.41,7842.41,8010.66,8205.78,8426.24,8662.64,8914.36,9182.33,9467.55,9761.63,10064.85,10377.49,7.00,2.91,1.49,-.68,7.87,3.97,7.38,5.54,.30,-4.28,18.97,7.96,4.40,6.89,.58,-.87,-3.31,2.68,-.35,-3.94,-11.53,-12.27,-15.42,.32,2.19,7.43,2.31,-.30,5.77,5.55,2.89,1.14,3.51,5.59,11.13,12.08,7.31,4.15,1.43,2.38,2.79,3.03,2.85,1.16,4.66,.82,2.11,2.53,.70,-10.68,1.54,2.22,2.42,2.15,2.44,2.69,2.81,2.91,3.01,3.11,3.11,3.11,3.11
Dominica,C,,,,,,,,2852.61,3151.34,2577.21,2936.00,3270.24,3391.66,3456.22,3615.52,3711.23,4013.82,4300.51,4667.66,4713.52,5004.41,5063.69,5154.95,5255.86,5220.36,5340.96,5539.76,5718.17,5954.55,5949.60,6048.38,6011.47,5814.80,6166.99,6337.54,6362.15,6647.31,7056.96,7545.19,7441.94,7476.27,7443.61,7348.97,7259.60,7565.68,7346.27,7518.76,6995.72,7143.18,7537.60,6279.24,6693.25,7022.68,7307.96,7623.16,7912.56,8106.34,8276.75,8425.88,8544.08,8663.93,8776.79,8891.12,9006.93,,,,,,,,10.47,-18.22,13.92,11.38,3.71,1.90,4.61,2.65,8.15,7.14,8.54,.98,6.17,1.18,1.80,1.96,-.68,2.31,3.72,3.22,4.13,-.08,1.66,-.61,-3.27,6.06,2.77,.39,4.48,6.16,6.92,-1.37,.46,-.44,-1.27,-1.22,4.22,-2.90,2.35,-6.96,2.11,5.52,-16.69,6.59,4.92,4.06,4.31,3.80,2.45,2.10,1.80,1.40,1.40,1.30,1.30,1.30
Dominican Republic,C,1795.97,1936.82,2081.22,2288.46,2363.90,2424.24,2523.81,2585.98,2578.84,2632.23,2774.84,2826.87,2809.54,2874.68,2848.97,2730.56,2769.24,2988.51,2993.18,3065.08,2844.73,2820.63,3084.12,3259.59,3293.99,3427.69,3575.61,3833.26,4028.03,4202.50,4332.12,4372.17,4501.30,4376.82,4426.29,4777.31,5145.98,5455.66,5559.32,5542.55,5932.55,6045.33,6136.11,6361.65,6735.00,7124.95,7520.80,7791.87,8252.97,8588.39,7935.02,8824.09,9169.35,9523.18,9838.94,10211.61,10588.72,10977.39,11380.33,11775.48,12196.45,12584.02,12983.91,13396.51,7.84,7.46,9.96,3.30,2.55,4.11,2.46,-.28,2.07,5.42,1.88,-.61,2.32,-.89,-4.16,1.42,7.92,.16,2.40,-7.19,-.85,9.34,5.69,1.06,4.06,4.32,7.21,5.08,4.33,3.08,.92,2.95,-2.77,1.13,7.93,7.72,6.02,1.90,-.30,7.04,1.90,1.50,3.68,5.87,5.79,5.56,3.60,5.92,4.06,-7.61,11.20,3.91,3.86,3.32,3.79,3.69,3.67,3.67,3.47,3.57,3.18,3.18,3.18
El Salvador,C,2910.17,2935.76,3048.83,3124.78,3213.63,3226.50,3304.99,3439.85,3528.89,3297.19,2871.73,2600.45,2458.12,2470.05,2466.55,2440.68,2400.46,2414.21,2415.29,2396.90,2470.89,2466.10,2594.36,2722.33,2819.46,2908.97,2889.84,2943.45,2983.43,3008.80,3012.05,3022.75,3063.71,3105.48,3129.20,3207.46,3343.19,3402.16,3476.34,3392.30,3456.31,3577.92,3649.02,3676.81,3704.75,3777.06,3846.59,3898.47,3952.93,4009.89,3665.99,4046.13,4125.65,4180.28,4231.64,4326.78,4421.18,4518.26,4622.07,4728.27,4836.92,4938.39,5041.99,5147.77,.88,3.85,2.49,2.84,.40,2.43,4.08,2.59,-6.57,-12.90,-9.45,-5.47,.49,-.14,-1.05,-1.65,.57,.04,-.76,3.09,-.19,5.20,4.93,3.57,3.17,-.66,1.86,1.36,.85,.11,.36,1.36,1.36,.76,2.50,4.23,1.76,2.18,-2.42,1.89,3.52,1.99,.76,.76,1.95,1.84,1.35,1.40,1.44,-8.58,10.37,1.97,1.32,1.23,2.25,2.18,2.20,2.30,2.30,2.30,2.10,2.10,2.10
Grenada,C,,,,,,2670.88,2920.00,3128.30,3357.54,3591.47,3619.41,3587.79,3733.34,3864.27,3993.02,4217.19,4496.67,4879.15,5012.07,5199.98,5414.32,5497.74,5417.08,5249.41,5283.57,5341.26,5526.81,5750.73,6374.34,6773.58,7061.03,6871.80,7070.61,7703.44,7605.79,8563.99,8174.39,8618.82,8645.94,8025.66,7938.78,7955.17,7820.57,7962.18,8503.32,9006.88,9299.24,9668.95,10026.39,10298.03,8847.62,9229.32,9743.00,10013.71,10244.26,10463.79,10687.54,10922.20,11151.11,11396.19,11635.27,11879.37,12128.58,12383.03,,,,,,9.33,7.13,7.33,6.97,.78,-.87,4.06,3.51,3.33,5.61,6.63,8.51,2.72,3.75,4.12,1.54,-1.47,-3.10,.65,1.09,3.47,4.05,10.84,6.26,4.24,-2.68,2.89,8.95,-1.27,12.60,-4.55,5.44,.31,-7.17,-1.08,.21,-1.69,1.81,6.80,5.92,3.25,3.98,3.70,2.71,-14.08,4.31,5.57,2.78,2.30,2.14,2.14,2.20,2.10,2.20,2.10,2.10,2.10,2.10
Guatemala,C,2485.51,2565.63,2691.28,2807.87,2917.62,2905.26,3047.29,3208.20,3289.39,3364.84,3410.58,3342.62,3152.84,3003.31,2943.82,2852.00,2781.38,2802.57,2832.39,2861.47,2867.46,2891.02,2947.70,2977.98,3011.34,3072.27,3076.48,3125.28,3195.70,3233.87,3281.90,3291.57,3338.12,3341.38,3361.85,3385.56,3483.83,3620.27,3656.45,3596.00,3619.53,3690.25,3721.49,3781.60,3872.67,3954.94,3987.65,4037.08,4095.71,4181.67,4038.77,4291.21,4397.16,4486.45,4553.17,4642.66,4711.15,4776.20,4837.43,4894.68,4952.66,5006.44,5060.81,5115.76,3.22,4.90,4.33,3.91,-.42,4.89,5.28,2.53,2.29,1.36,-1.99,-5.68,-4.74,-1.98,-3.12,-2.48,.76,1.06,1.03,.21,.82,1.96,1.03,1.12,2.02,.14,1.59,2.25,1.19,1.49,.29,1.41,.10,.61,.71,2.90,3.92,1.00,-1.65,.65,1.95,.85,1.62,2.41,2.12,.83,1.24,1.45,2.10,-3.42,6.25,2.47,2.03,1.49,1.97,1.48,1.38,1.28,1.18,1.18,1.09,1.09,1.09
Haiti,C,1024.85,1080.73,1069.82,1098.53,1139.28,1129.68,1200.64,1220.21,1270.62,1340.12,1410.45,1342.78,1269.07,1254.67,1232.55,1214.22,1183.09,1149.55,1129.88,1075.70,1064.47,1064.69,988.90,914.77,787.75,846.65,862.72,867.49,867.99,873.50,864.28,839.98,823.16,811.21,768.43,768.45,772.44,785.69,780.34,792.39,775.55,808.55,821.43,845.21,857.85,850.85,844.13,841.19,842.52,823.98,786.50,762.92,740.93,732.90,732.59,733.35,742.39,751.93,761.60,771.40,782.09,794.48,807.06,819.85,5.45,-1.01,2.68,3.71,-.84,6.28,1.63,4.13,5.47,5.25,-4.80,-5.49,-1.13,-1.76,-1.49,-2.56,-2.83,-1.71,-4.79,-1.04,.02,-7.12,-7.50,-13.89,7.48,1.90,.55,.06,.64,-1.06,-2.81,-2.00,-1.45,-5.27,.00,.52,1.72,-.68,1.55,-2.13,4.26,1.59,2.89,1.50,-.82,-.79,-.35,.16,-2.20,-4.55,-3.00,-2.88,-1.08,-.04,.10,1.23,1.29,1.29,1.29,1.39,1.58,1.58,1.58
Honduras,C,1435.38,1442.96,1469.87,1527.51,1679.35,1659.51,1773.57,1892.86,1934.37,1973.71,1913.54,1815.07,1715.83,1673.78,1717.68,1750.02,1777.98,1832.47,1805.86,1798.84,1795.75,1687.07,1737.80,1796.57,1747.79,1802.05,1783.61,1814.03,1828.02,1770.00,1848.64,1850.14,1872.89,1911.17,1982.50,2053.92,2139.76,2223.03,2268.73,2169.36,2207.31,2249.86,2301.25,2325.71,2364.02,2422.38,2485.32,2574.20,2632.76,2667.90,2398.35,2665.99,2625.28,2681.46,2741.09,2801.26,2863.22,2925.52,2989.18,3057.25,3126.87,3198.08,3270.91,3345.39,.53,1.87,3.92,9.94,-1.18,6.87,6.73,2.19,2.03,-3.05,-5.15,-5.47,-2.45,2.62,1.88,1.60,3.07,-1.45,-.39,-.17,-6.05,3.01,3.38,-2.72,3.10,-1.02,1.71,.77,-3.17,4.44,.08,1.23,2.04,3.73,3.60,4.18,3.89,2.06,-4.38,1.75,1.93,2.28,1.06,1.65,2.47,2.60,3.58,2.27,1.33,-10.10,11.16,-1.53,2.14,2.22,2.20,2.21,2.18,2.18,2.28,2.28,2.28,2.28,2.28
Jamaica,C,4603.07,4660.53,5415.57,5021.07,4727.99,4640.31,4271.81,4115.66,4070.74,3976.86,3713.34,3761.46,3772.57,3811.99,3720.72,3579.52,3614.68,3864.02,3982.36,4231.13,4359.39,4507.56,4533.23,4893.11,4894.32,4942.89,4872.55,4755.40,4587.24,4580.48,4572.85,4593.18,4662.55,4829.83,4891.70,4935.06,5079.57,5155.67,5119.04,4903.80,4840.28,4934.03,4913.58,4946.55,4987.47,5038.44,5110.58,5163.02,5263.31,5299.18,4757.88,4974.00,5228.94,5335.72,5412.76,5516.48,5620.23,5721.29,5818.45,5911.46,6000.04,6089.86,6181.03,6273.56,1.25,16.20,-7.28,-5.84,-1.85,-7.94,-3.66,-1.09,-2.31,-6.63,1.30,.30,1.04,-2.39,-3.80,.98,6.90,3.06,6.25,3.03,3.40,.57,7.94,.02,.99,-1.42,-2.40,-3.54,-.15,-.17,.44,1.51,3.59,1.28,.89,2.93,1.50,-.71,-4.20,-1.30,1.94,-.41,.67,.83,1.02,1.43,1.03,1.94,.68,-10.21,4.54,5.13,2.04,1.44,1.92,1.88,1.80,1.70,1.60,1.50,1.50,1.50,1.50
Nicaragua,C,2831.06,2831.41,2811.01,2905.44,3214.66,3109.03,3167.54,3323.31,2999.37,2140.28,2146.61,2187.13,2112.84,2161.06,2079.17,1952.98,1892.67,1837.27,1570.17,1503.78,1440.49,1364.62,1312.57,1260.27,1261.96,1302.40,1353.99,1378.49,1402.02,1472.71,1505.28,1522.92,1508.98,1522.68,1579.72,1624.30,1669.20,1731.39,1768.73,1690.22,1744.82,1834.80,1933.05,2006.97,2081.41,2159.27,2235.51,2316.38,2203.49,2097.91,2041.54,2231.91,2294.33,2319.34,2351.26,2388.32,2419.12,2450.32,2481.92,2513.93,2548.88,2581.79,2615.12,2648.88,.01,-.72,3.36,10.64,-3.29,1.88,4.92,-9.75,-28.64,.30,1.89,-3.40,2.28,-3.79,-6.07,-3.09,-2.93,-14.54,-4.23,-4.21,-5.27,-3.81,-3.98,.13,3.20,3.96,1.81,1.71,5.04,2.21,1.17,-.92,.91,3.75,2.82,2.76,3.73,2.16,-4.44,3.23,5.16,5.36,3.82,3.71,3.74,3.53,3.62,-4.87,-4.79,-2.69,9.32,2.80,1.09,1.38,1.58,1.29,1.29,1.29,1.29,1.39,1.29,1.29,1.29
